name,fullName,parkCode,parkID,designation,description,latitude,longitude,city,stateCode,postalCode,exceptionType,startDate,endDate
Aztec Ruins,Aztec Ruins National Monument,azru,CD54150B-24F6-4B96-8D6F-B23AF92A70F2,National Monument,"Aztec Ruins has some of the best-preserved Chacoan structures of its kind. Learn more about the ancestral Pueblo people in the park's museum and explore the Aztec West great house to see exceptionally advanced architecture, original wooden beams, and a restored Great Kiva. Aztec Ruins is a deeply sacred place to many Indigenous peoples across the American Southwest. Please visit with respect.",36.83682216,-107.9999245,Aztec,NM,87410,Closed on Thanksgiving Day,2025-11-27,2025-11-27
Aztec Ruins,Aztec Ruins National Monument,azru,CD54150B-24F6-4B96-8D6F-B23AF92A70F2,National Monument,"Aztec Ruins has some of the best-preserved Chacoan structures of its kind. Learn more about the ancestral Pueblo people in the park's museum and explore the Aztec West great house to see exceptionally advanced architecture, original wooden beams, and a restored Great Kiva. Aztec Ruins is a deeply sacred place to many Indigenous peoples across the American Southwest. Please visit with respect.",36.83682216,-107.9999245,Aztec,NM,87410,Closed on Christmas Day,2025-12-25,2025-12-25
Aztec Ruins,Aztec Ruins National Monument,azru,CD54150B-24F6-4B96-8D6F-B23AF92A70F2,National Monument,"Aztec Ruins has some of the best-preserved Chacoan structures of its kind. Learn more about the ancestral Pueblo people in the park's museum and explore the Aztec West great house to see exceptionally advanced architecture, original wooden beams, and a restored Great Kiva. Aztec Ruins is a deeply sacred place to many Indigenous peoples across the American Southwest. Please visit with respect.",36.83682216,-107.9999245,Aztec,NM,87410,Closed on New Years Day,2026-01-01,2026-01-01
Bandelier,Bandelier National Monument,band,E28CA30C-2D81-4394-81E9-67677C412115,National Monument,"Bandelier National Monument protects over 33,000 acres of ruggedly beautiful canyon and mesa country. Petroglyphs, dwellings carved into the soft rock cliffs, and standing masonry walls pay tribute to the early days of a culture that still survives in the surrounding communities.",35.77898596,-106.3317124,Los Alamos,NM,87544,Bandelier National Monument Closed on Christmas Day,2025-12-25,2025-12-25
Bent's Old Fort,Bent's Old Fort National Historic Site,beol,87F9EFC7-1951-4250-A367-644EC5C4E6A2,National Historic Site,"In the 1840s the Arkansas River was the border between territory claimed by the United States and Mexico. Located along the river, Bent's Fort was an adobe trading post on the Santa Fe Trail, where traders, trappers, travelers, and the Cheyenne and Arapaho tribes came together in peaceful terms for trade. Today, a reconstructed fort allows visitors to explore the front line of Westward Expansion.",38.03977546,-103.4266499,La Junta,CO,81050,Thanksgiving Day,2025-11-27,2025-11-27
Bent's Old Fort,Bent's Old Fort National Historic Site,beol,87F9EFC7-1951-4250-A367-644EC5C4E6A2,National Historic Site,"In the 1840s the Arkansas River was the border between territory claimed by the United States and Mexico. Located along the river, Bent's Fort was an adobe trading post on the Santa Fe Trail, where traders, trappers, travelers, and the Cheyenne and Arapaho tribes came together in peaceful terms for trade. Today, a reconstructed fort allows visitors to explore the front line of Westward Expansion.",38.03977546,-103.4266499,La Junta,CO,81050,Christmas Day,2025-12-25,2025-12-25
Bent's Old Fort,Bent's Old Fort National Historic Site,beol,87F9EFC7-1951-4250-A367-644EC5C4E6A2,National Historic Site,"In the 1840s the Arkansas River was the border between territory claimed by the United States and Mexico. Located along the river, Bent's Fort was an adobe trading post on the Santa Fe Trail, where traders, trappers, travelers, and the Cheyenne and Arapaho tribes came together in peaceful terms for trade. Today, a reconstructed fort allows visitors to explore the front line of Westward Expansion.",38.03977546,-103.4266499,La Junta,CO,81050,New Year's Day,2026-01-01,2026-01-01
Bent's Old Fort,Bent's Old Fort National Historic Site,beol,87F9EFC7-1951-4250-A367-644EC5C4E6A2,National Historic Site,"In the 1840s the Arkansas River was the border between territory claimed by the United States and Mexico. Located along the river, Bent's Fort was an adobe trading post on the Santa Fe Trail, where traders, trappers, travelers, and the Cheyenne and Arapaho tribes came together in peaceful terms for trade. Today, a reconstructed fort allows visitors to explore the front line of Westward Expansion.",38.03977546,-103.4266499,La Junta,CO,81050,"Birthday of Martin Luther King, Jr.",2026-01-19,2026-01-19
Bent's Old Fort,Bent's Old Fort National Historic Site,beol,87F9EFC7-1951-4250-A367-644EC5C4E6A2,National Historic Site,"In the 1840s the Arkansas River was the border between territory claimed by the United States and Mexico. Located along the river, Bent's Fort was an adobe trading post on the Santa Fe Trail, where traders, trappers, travelers, and the Cheyenne and Arapaho tribes came together in peaceful terms for trade. Today, a reconstructed fort allows visitors to explore the front line of Westward Expansion.",38.03977546,-103.4266499,La Junta,CO,81050,Washington's Birthday,2026-02-16,2026-02-16
Big Hole,Big Hole National Battlefield,biho,3262234F-A56A-447D-AE6C-F5C734ABD3A4,National Battlefield,"On August 9, 1877, gunshots shattered a chilly dawn on a sleeping camp of nımí·pu· (Nez Perce). By the time the smoke cleared on August 10, almost 90 nimí·pu· were dead, along with 31 soldiers and volunteers. Big Hole National Battlefield was created to honor all who were there.",45.64647324,-113.6458443,Wisdom,MT,59761,Thanksgiving,2025-11-27,2025-11-27
Big Hole,Big Hole National Battlefield,biho,3262234F-A56A-447D-AE6C-F5C734ABD3A4,National Battlefield,"On August 9, 1877, gunshots shattered a chilly dawn on a sleeping camp of nımí·pu· (Nez Perce). By the time the smoke cleared on August 10, almost 90 nimí·pu· were dead, along with 31 soldiers and volunteers. Big Hole National Battlefield was created to honor all who were there.",45.64647324,-113.6458443,Wisdom,MT,59761,Christmas Eve,2025-12-24,2025-12-24
Big Hole,Big Hole National Battlefield,biho,3262234F-A56A-447D-AE6C-F5C734ABD3A4,National Battlefield,"On August 9, 1877, gunshots shattered a chilly dawn on a sleeping camp of nımí·pu· (Nez Perce). By the time the smoke cleared on August 10, almost 90 nimí·pu· were dead, along with 31 soldiers and volunteers. Big Hole National Battlefield was created to honor all who were there.",45.64647324,-113.6458443,Wisdom,MT,59761,New Year's Eve,2025-12-31,2025-12-31
Big Hole,Big Hole National Battlefield,biho,3262234F-A56A-447D-AE6C-F5C734ABD3A4,National Battlefield,"On August 9, 1877, gunshots shattered a chilly dawn on a sleeping camp of nımí·pu· (Nez Perce). By the time the smoke cleared on August 10, almost 90 nimí·pu· were dead, along with 31 soldiers and volunteers. Big Hole National Battlefield was created to honor all who were there.",45.64647324,-113.6458443,Wisdom,MT,59761,Christmas Day,2026-01-01,2026-01-01
Big Hole,Big Hole National Battlefield,biho,3262234F-A56A-447D-AE6C-F5C734ABD3A4,National Battlefield,"On August 9, 1877, gunshots shattered a chilly dawn on a sleeping camp of nımí·pu· (Nez Perce). By the time the smoke cleared on August 10, almost 90 nimí·pu· were dead, along with 31 soldiers and volunteers. Big Hole National Battlefield was created to honor all who were there.",45.64647324,-113.6458443,Wisdom,MT,59761,New Year's Day,2026-01-01,2026-01-01
Blue Ridge,Blue Ridge Parkway,blri,712044CE-4C85-48C2-813E-310A9C6C74E1,Parkway,"A Blue Ridge Parkway experience is unlike any other: a slow-paced and relaxing drive revealing stunning long-range vistas and close-up views of the rugged mountains and pastoral landscapes of the Appalachian Highlands. The Parkway meanders for 469 miles, protecting a diversity of plants and animals, and providing opportunities for enjoying all that makes this region of the country so special.",35.5657195274,-82.486484587,Asheville,NC,28803,"Closed from Milepost 200.1 to Milepost 285.5, Closed from Milepost 305 to Milepost 411.8, and Closed from Milepost 421 to Milepost 423.2",2025-09-29,2026-09-28
Boston African American,Boston African American National Historic Site,boaf,87F00684-8E1F-4E12-B463-2B5B929A0C74,National Historic Site,"Centered on the north slope of Beacon Hill, the African American community of 1800s Boston led the city and the nation in the fight against slavery and injustice. These remarkable men and women, together with their allies, were leaders in the Abolition Movement, the Underground Railroad, the Civil War, and the early struggle for equal rights and education.",42.35908295,-71.06764181,Charlestown,MA,02129,Thanksgiving,2025-11-27,2025-11-27
