name,feeType,cost,description
Black Canyon Of The Gunnison National Park,Entrance - Motorcycle,25.00,"7-Day Motorcycle Pass.  Entrance fees cover all persons in a single, private, non-commercial vehicle."
Black Canyon Of The Gunnison National Park,Entrance - Per Person,15.00,7-Day Individual Pass (pedestrian or bicycle)
Black Canyon Of The Gunnison National Park,Entrance - Non-commercial Groups,30.00,"Non-commercial vehicles with a vehicle capacity of 15 or fewer: $30.00 per vehicle, regardless of the number of passengers."
Black Canyon Of The Gunnison National Park,Entrance - Non-commercial Groups,15.00,Non-commercial vehicles with a vehicle capacity of 16 or greater: $15.00 per passenger (including driver). Fees will not exceed the commercial fee for the same-sized vehicle. Youth 15 and under are free. Individuals or families with any valid Annual or Lifetime pass may use their pass for entry at the per-person rate. Pass and photo ID must be presented upon entry.
Bryce Canyon National Park,Entrance - Private Vehicle,35.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all occupants."
Bryce Canyon National Park,Entrance - Motorcycle,30.00,Price is per motorcycle.
Bryce Canyon National Park,Entrance - Per Person,20.00,Admits one individual with no car to the park - typically used for bicyclists and walk-ins. Youth 15 and under are admitted free.
Canyonlands National Park,Entrance - Private Vehicle,30.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants."
Canyonlands National Park,Entrance - Motorcycle,25.00,"Admits a private, non-commercial motorcycle and its riders."
Canyonlands National Park,Entrance - Per Person,15.00,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free."
Capitol Reef National Park,Entrance - Private Vehicle,20.00,An entrance fee is charged per vehicle.
Capitol Reef National Park,Entrance - Motorcycle,15.00,"Admits one private, non-commercial motorcycle and its riders."
Capitol Reef National Park,Entrance - Per Person,10.00,Admits one individual with no car. Typically used for bicyclists and pedestrians.
Carlsbad Caverns National Park,Timed Entry Reservation - Location,1.00,"A timed entry reservation must be purchased to access Carlsbad Cavern. In addition, an entry pass must be purchased at the visitor center.

Time entry reservations ensure a more enjoyable experience and helps to protect the cave formations."
Carlsbad Caverns National Park,Entrance - Per Person,15.00,Entrance fee provides access to Carlsbad Cavern by elevator and hiking in. Ranger-guided tours are an additional fee and can be reserved on recreation.gov.
Crater Lake National Park,Entrance - Private Vehicle,30.00,"This is the summer entrance fee and is charged from mid-May through the end of October.  Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Good for 7 days."
Crater Lake National Park,Entrance - Private Vehicle,20.00,"This is the winter entrance fee.  Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Good for 7 days."
Crater Lake National Park,Entrance - Motorcycle,25.00,"Admits one or two passengers on a private, non-commercial motorcycle. Good for 7 days. Summer rate from mid-May to October 31st."
Crater Lake National Park,Entrance - Motorcycle,15.00,"Admits one or two passengers on a private, non-commercial motorcycle. Good for 7 days. Winter rate from 11/1 through mid-May."
Crater Lake National Park,Entrance - Per Person,15.00,"Admits one individual with no motor vehicle (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge. Good for 7 days."
Crater Lake National Park,Entrance - Snowmobile,15.00,Admits one individual on a snowmobile for travel on snow covered North Entrance Road closed to regular vehicle traffic. Youth 15 and under are admitted free of charge. Good for 7 days.
Death Valley National Park,Entrance - Private Vehicle,30.00,"This permit allows all persons traveling with the permit holder in one single private, non-commercial vehicle (car/truck/van/RV/aircraft) to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase."
Death Valley National Park,Entrance - Motorcycle,25.00,This permit allows persons traveling on one motorcycle to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase.
Death Valley National Park,Entrance - Per Person,15.00,This permit allows a single individual traveling on foot or individuals traveling on one bicycle to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase.
Death Valley National Park,Entrance - Non-commercial Groups,15.00,"Non-commercial Groups (e.g., Scout groups, church groups, etc.) entering in a vehicle with a capacity of 16 persons or more are charged per-person for each person on board, not to exceed $200."
Denali National Park & Preserve,Entrance - Per Person,15.00,"Denali charges an entrance fee year-round. Youth age 15 or younger are free. For people age 16 or older, the $15 entrance fee provides a 7-day entrance permit. Be prepared to show your receipt or pass (digital or physical) if requested by park staff."
Dry Tortugas National Park,Entrance - Per Person,15.00,"The entrance fee for Dry Tortugas National Park is $15.00 per person and is good for 7 consecutive days. Any person 15 years old and under is exempt from paying an entrance fees (including international visitors).

Ferry tickets include the cost of entrance to the park, but NOT camping fees.

Seaplane will charge the entrance fee upon arrival. Plan to bring cash for each person aged 16-years of age and older.

Private boaters may purchase a digital pass in advance or pay cash/check at Garden Key main dock."
Everglades National Park,Entrance - Private Vehicle,35.00,Admits the passholder and passengers of a single vehicle or vessel. Good for 7 consecutive days at all park entrances.
Everglades National Park,Entrance - Motorcycle,30.00,Good for 7 consecutive days at all park entrances.
Everglades National Park,Entrance - Per Person,20.00,"Good for 7 consecutive days at all park entrances. Admits one individual hiker, bicyclist, pedestrian, or human-powered paddlecraft, when not arriving in a vehicle or vessel. Individuals 15 years old and younger, are admitted free of charge."
Gateway Arch National Park,Timed Entry Reservation - Location,19.00,"Prices vary by date of visit. 

Begin your tour with an interactive pre-boarding experience featuring 60s-inspired animation and Gateway Arch trivia. Then, be transported 630 feet to the top of Arch for exhilarating views. Please allow 45 - 60 minutes for your Tram Ride to the Top experience.

Adult (16 and up): Starting at $15

Child (3-15): Starting at $11

Infant (2 and under): FREE

Park Pass Holder: Starting at $12

Tickets available at www.gatewayarch.com"
Glacier National Park,Entrance - Private Vehicle,35.00,"(Winter Rate - $25.00, November 1 to April 30)
This is an entrance fee for all persons traveling in a single, private, non-commercial vehicle (car/truck/van). The pass is good for seven days and is non-transferable. Visitors can enter the park at any time, if the entrance station is not staffed, a self-registration area is available for purchasing a 7-day park pass."
Glacier National Park,Entrance - Per Person,20.00,"(Winter Rate - $15.00, November 1 to April 30)
This is a per person entrance fee for a visitor traveling on foot, bicycle, or for individuals traveling together in a vehicle as a non-commercial, organized group. The pass is good for seven days and is non-transferable."
Glacier National Park,Entrance - Motorcycle,30.00,"(Winter Rate - $20.00, November 1 to April 30)
This is a per motorcycle entrance fee. The pass is good for seven days and is non-transferable."
Grand Canyon National Park,Entrance - Private Vehicle,35.00,"Admits one single, private, non-commercial vehicle and all its passengers, up to a 15 person passenger van. Organized non-commercial groups over 16 passengers require different charges. Commercial groups are not eligible for the vehicle permit."
Grand Canyon National Park,Entrance - Motorcycle,30.00,"Admits one single, private, non-commercial motorcycle and its passenger(s)."
Grand Canyon National Park,Entrance - Per Person,20.00,"Individual ($20 valid for 7 days): for bicyclists, hikers, and pedestrians."
Grand Teton National Park,Entrance - Private Vehicle,35.00,"Park entrance fee for 7 days for a private, non-commercial vehicle."
Grand Teton National Park,Entrance - Motorcycle,30.00,Park entrance for 7 days per private motorcycle.
Grand Teton National Park,Entrance - Per Person,20.00,"Park entrance fee for 7 days for each visitor 16 years and older entering by foot, bicycle, ski, etc."
Great Sand Dunes National Park & Preserve,Entrance - Private Vehicle,25.00,"Fees are charged only when the entrance station is open in the spring, summer, and fall seasons or when the visitor center is open in the winter season. Fees can be paid by cash, check, or credit card. Passes may also be purchased in advance online through recreation.gov ."
Great Sand Dunes National Park & Preserve,Entrance - Non-commercial Groups,15.00,"15+ passenger vehicle, age 16+"
Great Sand Dunes National Park & Preserve,Entrance - Motorcycle,20.00,"Motorcycle and riders
Valid up to 7 days"
Great Sand Dunes National Park & Preserve,Entrance - Per Person,15.00,Entrance Fee for Bicycles or Walk-In Visitors
Guadalupe Mountains National Park,Entrance - Per Person,10.00,"An entrance fee of $10 per person (16 years of age and older) is required; entrance fees/passes permit 1-7 consecutive days of use in this national park. Holders of the Annual, Senior, Military, 4th grade and Access Pass can bring in 3 adults free of charge under their pass. Any pass must be displayed in a vehicle while in the national park."
Haleakalā National Park,Entrance - Motorcycle,25.00,"Valid for three days. Admits a private, non-commercial motorcycle to Haleakalā National Park including both the Summit and Kīpahulu Districts."
Haleakalā National Park,Entrance - Private Vehicle,30.00,"Valid for three days. Admits private, non-commercial vehicle (14 max capacity or less) and all occupants to Haleakalā National Park including both the Summit and Kīpahulu Districts."
Haleakalā National Park,Entrance - Per Person,15.00,Admits one individual with no car to Haleakalā National Park including both the Summit and Kīpahulu Areas. Youth 15 and under are admitted free.
Haleakalā National Park,Timed Entry Reservation - Park & Location,1.00,A reservation is required for each vehicle entering the park from 3:00 a.m. to 7:00 a.m. You may book a reservation up to 60 days in advance and 2 days in advance of the start date.
Hawaiʻi Volcanoes National Park,Entrance - Private Vehicle,30.00,"Private Vehicle Pass - The private vehicle pass admits the passholder and up to 14 passengers of a single, private (non-commercial) vehicle."
Hawaiʻi Volcanoes National Park,Entrance - Motorcycle,25.00,Motorcycle Pass- Admits the passholder and passenger of one motorcycle.
Hawaiʻi Volcanoes National Park,Entrance - Per Person,15.00,"Pedestrian/Cyclist Pass - Admits one individual bicyclist, hiker, or pedestrian visiting without a private vehicle. An individual pass is not required for visitors aged 15 and under."
Indiana Dunes National Park,Entrance - Motorcycle,20.00,"7-Day Park Entrance Fee - Motorcycle

Per motorcycle (valid for 1-7 days from date of purchase)"
Indiana Dunes National Park,Entrance - Private Vehicle,25.00,"7-Day Park Entrance Fee - Family-Size Vehicle

Per private family-sized vehicle (valid for 1-7 days from date of purchase)."
Indiana Dunes National Park,Entrance - Per Person,15.00,"7-Day Per Person Entrance Fee (Organized, non-commercial groups)

Visitors 16 years of age or older who enter on foot, bicycle, boat, or as part of an organized group not involved in a commercial tour."
Isle Royale National Park,Entrance - Per Person,7.00,"$7 per person per day to enter or remain in Isle Royale National Park. Children 15 and younger are exempt.

Visiting Park Headquarters in Houghton, MI does not require a fee."
Joshua Tree National Park,Entrance - Private Vehicle,30.00,"7-day vehicle permit, admitting the passengers of a single, non-commercial vehicle on the day of purchase and for the next six days."
Joshua Tree National Park,Entrance - Motorcycle,25.00,"7-day entrance permit, per motorcycle."
Joshua Tree National Park,Entrance - Per Person,15.00,"7-day entrance fee, per person on foot or bike."
Lassen Volcanic National Park,Entrance - Private Vehicle,30.00,"Admits one private, non-commercial vehicle. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov."
Lassen Volcanic National Park,Entrance - Private Vehicle,10.00,"Discounted entry fee during winter. Admits one private, non-commercial vehicle. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov."
Lassen Volcanic National Park,Entrance - Motorcycle,25.00,"Admits one private, non-commercial motorcycle and its riders. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov."
Lassen Volcanic National Park,Entrance - Per Person,15.00,"Per-person entrance fee used to admit one person on foot or bicycle. Also used for individuals traveling together in a vehicle as a non-commercial, organized group. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov."
Lassen Volcanic National Park,Entrance - Motorcycle,10.00,"Discounted entry fee for winter. Admits one private, non-commercial motorcycle and its riders. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov."
Lassen Volcanic National Park,Entrance - Per Person,10.00,"Discounted entry fee for winter. Per-person entrance fee used to admit one person on foot or bicycle. Also used for individuals traveling together in a vehicle as a non-commercial, organized group. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov."
Mesa Verde National Park,Entrance - Private Vehicle,30.00,This pass if good for 7 days.
Mesa Verde National Park,Entrance - Motorcycle,25.00,This pass is good for 7 days.
Mesa Verde National Park,Entrance - Per Person,15.00,This pass is good for 7 days.
Mesa Verde National Park,Entrance - Private Vehicle,20.00,"Purchase digital park entrance passes on recreation.gov at no additional cost. Once purchased, passes for Mesa Verde National Park must be printed or saved on your mobile device prior to use. Connectivity is limited in the park, therefore printing the permit or saving it on your phone is highly recommended.

Passes, including the America the Beautiful, National Parks & Federal Recreational Lands Passes, such as the Annual, Access, or Senior pass may be purchased at the entrance station upon arrival."
Mesa Verde National Park,Entrance - Per Person,15.00,"Purchase digital park entrance passes on recreation.gov at no additional cost. Once purchased, passes for Mesa Verde National Park must be printed or saved on your mobile device prior to use. Connectivity is limited in the park, therefore printing the permit or saving it on your phone is highly recommended.

Passes, including the America the Beautiful, National Parks & Federal Recreational Lands Passes, such as the Annual, Access, or Senior pass may be purchased at the entrance station upon arrival."
Mesa Verde National Park,Entrance - Motorcycle,15.00,This pass is good for 7 days.
Mount Rainier National Park,Entrance - Private Vehicle,30.00,"Grants unlimited entry for one vehicle and passengers for seven consecutive days. Vehicle must be private, noncommercial, and with a seating capacity of 15 or less."
Mount Rainier National Park,Entrance - Per Person,15.00,Walk-up or single bicycle fee. Grants unlimited entry for seven consecutive days.
Mount Rainier National Park,Entrance - Motorcycle,25.00,Grants unlimited entry for one motorcycle and passenger for seven consecutive days.
Mount Rainier National Park,Timed Entry Reservation - Location,2.00,"A timed entry reservation is required only for the Sunrise Corridor in the northeast corner of the park from 7:00 am to 5:00 pm daily from July 11-Sept 1, 2025, then on weekends and holidays from Sept 2 through end of the season (typically mid-October)."
Olympic National Park,Entrance - Private Vehicle,30.00,"Valid for seven consecutive days. Applies to private, non-commercial vehicles (15 passenger capacity or less). The pass covers all vehicle occupants."
Olympic National Park,Entrance - Motorcycle,25.00,"Valid for seven consecutive days. Fee admits one individual on a private, non-commercial motorcycle."
Olympic National Park,Entrance - Per Person,15.00,"Valid for seven consecutive days. This fee admits one person without a vehicle, including hikers, bicyclists, and pedestrians. Individuals fifteen years or younger are admitted free of charge."
Petrified Forest National Park,Entrance - Private Vehicle,25.00,"Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Valid for 7 days."
Petrified Forest National Park,Entrance - Per Person,15.00,"Admits one individual with no motor vehicle (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge. Valid for 7 days."
Petrified Forest National Park,Entrance - Motorcycle,20.00,"Admits one or two passengers on a single private, non-commercial motorcycle. Valid for 7 days."
Petrified Forest National Park,Entrance - Non-commercial Groups,15.00,"Capacity of 16 or more $15/person.  Anyone that is 15 or younger is exempt from paying an entrance fee, in addition to anyone with a valid pass. A pass may cover immediate family members or up to 4 people traveling with the group.

A non-commercial organized group is a group traveling together, such as scouts, a club, a church, or other group that has organized its own itinerary. Fees are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days."
Pinnacles National Park,Entrance - Private Vehicle,30.00,This pass is valid for 1-7 days and includes everyone traveling in a single vehicle to Pinnacles East Entrance and West Entrance.
Pinnacles National Park,Entrance - Motorcycle,25.00,"This pass is valid for 1-7 days and includes everyone traveling on a motorcycle, scooter, or similar motorized vehicle to Pinnacles East Entrance and West Entrance."
Pinnacles National Park,Entrance - Per Person,15.00,This entry fee is for a single person traveling on foot or by bicycle.  It is valid for 1-7 days to Pinnacles East Entrance and West Entrance.
Pinnacles National Park,Entrance - Non-commercial Groups,15.00,"Non-commercial groups traveling in vehicles that have a capacity of 16 passengers or more pay $15 per person up to the maximums listed for commercial groups with comparable passenger capacity ($40 or $100). People 15 years old or younger, anyone with a pass that may be used for park entry, and drivers hired for transportation only are exempt from the per person fee."
Rocky Mountain National Park,Entrance - Private Vehicle,30.00,1-Day Vehicle Entrance Pass. This pass is valid for one private vehicle to enter RMNP for one day only. All passengers inside the vehicle are covered. Park entrance passes may be purchased in person at any of the park's entrance stations or in advance online at www.recreation.gov.
Rocky Mountain National Park,Entrance - Private Vehicle,35.00,7-Day Vehicle Entrance Pass. This vehicle entrance pass is valid for one vehicle to enter RMNP for 7 consecutive days. All passengers inside the vehicle are covered. Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov.
Rocky Mountain National Park,Entrance - Per Person,15.00,"1-Day Per Person Entrance Pass. This park entrance fee is for individuals, walk-ins, bicycles, and non-commercial groups to enter RMNP for 1-day only. Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov."
Rocky Mountain National Park,Entrance - Motorcycle,25.00,1-Day Motorcycle Entrance Pass. This pass is valid for one private motorcycle to enter RMNP for one day only. One pass is good for one motorcycle (including all riders). Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov.
Rocky Mountain National Park,Entrance - Motorcycle,30.00,7-Day Motorcycle Entrance Pass. This park entrance pass is valid for one motorcycle to enter RMNP for 7 consecutive days (including all riders). Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov.
Rocky Mountain National Park,Entrance - Per Person,20.00,"7-Day Per Person Entrance Pass. This park entrance fee is for individuals, walk-ins, bicycles, and non-commercial groups to enter RMNP for 7 consecutive days. Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov."
Saguaro National Park,Entrance - Private Vehicle,25.00,"The vehicle entrance pass is sold in the form of a dated register receipt and admits one privately owned, non-commercial vehicle into Saguaro National Park. This includes passenger cars, trucks, vans, recreational vehicles, campers, or converted buses used for private, recreational purposes."
Saguaro National Park,Entrance - Per Person,15.00,"Individuals entering the park by means other than a motor vehicle may purchase individual entrance passes. This includes hikers, horseback riders and bicyclists. The individual entrance fee is charged to anyone 16 years of age or older."
Saguaro National Park,Entrance - Motorcycle,20.00,"This fee is charged per-vehicle upon entrance, regardless of the number of riders. An Annual Pass will cover two motorcycles traveling together if the two people who signed that pass are on different motorcycles. A Lifetime Pass (such as the Access or Senior Pass) with one signature line will only cover one motorcycle."
Sequoia & Kings Canyon National Parks,Entrance - Private Vehicle,35.00,This pass is valid for 1-7 days and includes everyone traveling in a single vehicle for Sequoia & Kings Canyon National Parks and Hume Lake District of Sequoia National Forest/Giant Sequoia National Monument.
Sequoia & Kings Canyon National Parks,Entrance - Per Person,20.00,This entry fee is for a single person traveling on foot or by bicycle. It is valid for 1-7 days in Sequoia & Kings Canyon National Parks and Hume Lake District of Sequoia National Forest/Giant Sequoia National Monument.
Sequoia & Kings Canyon National Parks,Entrance - Motorcycle,30.00,"This pass is valid for 1-7 days and includes everyone traveling on a motorcycle, scooter, or similar motorized vehicle for Sequoia & Kings Canyon National Parks and Hume Lake District of Sequoia National Forest/Giant Sequoia National Monument."
Sequoia & Kings Canyon National Parks,Entrance - Non-commercial Groups,20.00,"Non-commercial groups traveling in vehicles that have a capacity of up to 15 passengers pay a $35 vehicle entrance fee or use a park pass. Groups traveling in a bus or vehicle with a capacity of 16 persons or more are charged $20 per person, up to the maximums listed for commercial groups with comparable passenger capacity ($100 or $200). People 15 years old or younger, anyone with a pass that may be used for park entry, and drivers hired for transportation only are exempt from the per person fee."
Shenandoah National Park,Entrance - Private Vehicle,30.00,"Unlimited entry for one vehicle and all passengers for seven consecutive days, beginning on the day of purchase. Admits the pass holder and occupants of a single, private non-commercial vehicle."
Shenandoah National Park,Entrance - Motorcycle,25.00,"Entry for one motorcycle and one passenger for seven consecutive days, beginning on the day of purchase."
Shenandoah National Park,Entrance - Per Person,15.00,"Entry for walk-up or bicycling visitors, when 16 years of age or older (children under 16 are admitted for free). Includes entering the Park by all means other than a private, non-commercial vehicle. A family traveling together shall pay no more than the vehicle fee."
Shenandoah National Park,Entrance - Non-commercial Groups,15.00,Fee is calculated per person for anyone 16 years of age or older (children under 16 are admitted for free). Groups will not be charged more than the equivalent commercial group fee.
Theodore Roosevelt National Park,Entrance - Private Vehicle,30.00,"Valid for 7 days for all persons traveling in a single, private, non-commercial vehicle."
Theodore Roosevelt National Park,Entrance - Motorcycle,25.00,"Valid for 7 days for all persons traveling on a single, non-commercial motorcycle."
Theodore Roosevelt National Park,Entrance - Per Person,15.00,"Valid for 7 days for a visitor traveling on foot, bicycle, horse, or other non-motorized means of travel."
White Sands National Park,Entrance - Private Vehicle,25.00,"Per vehicle fee is charged to visitors for entry by a single, private non-commercial vehicle. Entrance fees are valid for reentry for seven consecutive days from the date of purchase."
White Sands National Park,Entrance - Per Person,15.00,"Per person fee is charged to visitors for entry by means other than a single, private non-commercial vehicle. This includes, but is not limited to, individuals who enter the park by walking and bicycling. Entrance fees are valid for reentry for seven consecutive days from the date of purchase."
White Sands National Park,Entrance - Motorcycle,20.00,Entrance fees are valid for entry for seven consecutive days from the date of purchase.
Yellowstone National Park,Entrance - Private Vehicle,35.00,"Unlimited entry for one vehicle and all passengers for seven consecutive days, beginning on the day of purchase. Vehicles must be private, non-commercial, and with a seating capacity of 15 or less."
Yellowstone National Park,Entrance - Non-commercial Groups,20.00,"Non-commercial group (e.g. church groups, scouts) traveling in a vehicle with a capacity of 16 or more people. Cost is per person. Unlimited entry for one vehicle and all passengers for seven consecutive days, beginning on the day of purchase."
Yellowstone National Park,Entrance - Motorcycle,30.00,"Entry for one driver and one passenger for seven consecutive days, beginning on the day of purchase."
Yellowstone National Park,Entrance - Snowmobile,30.00,"Entry for one driver and one passenger for seven consecutive days, beginning on the day of purchase."
Yellowstone National Park,Entrance - Per Person,20.00,"Entry for visitors on foot, bicycle, ski, etc., when 16 years of age or older."
Yosemite National Park,Entrance - Private Vehicle,35.00,"This fee is valid for seven consecutive days for a non-commercial car, pickup truck, RV, or van with 15 or fewer passenger seats. This fee covers the vehicle and everyone inside of it."
Yosemite National Park,Entrance - Motorcycle,30.00,"This fee is valid for seven consecutive days for a non-commercial motorcycle (cost is per motorcycle, not person)."
Yosemite National Park,Entrance - Per Person,20.00,"This fee is valid for seven consecutive days for people entering on foot, a bicycle, a horse, or a non-commercial bus or van. People 15 years and younger are free."
Yosemite National Park,Entrance - Non-commercial Groups,300.00,The per-person fee is $20 to a maximum of $300 per vehicle. People 15 years and younger are free.
Zion National Park,Entrance - Private Vehicle,35.00,"Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants to Zion National Park. Valid for 1-7 days."
Zion National Park,Entrance - Motorcycle,30.00,"Admits one, non-commercial motorcycle to Zion National Park. Valid for 1-7 days."
Zion National Park,Entrance - Snowmobile,20.00,"Admits one individual with no car to Zion National Park. Typically used for bicyclists, hikers and pedestrians. Youth 15 and under are admitted free. Valid for 1-7 days."
Zion National Park,Entrance - Per Person,20.00,"Admits one individual with no car to Zion National Park. Typically used for bicyclists, hikers and pedestrians. Youth 15 and under are admitted free. Valid for 1-7 days."
Zion National Park,Entrance - Non-commercial Groups,20.00,$20 per person. Non-commercial vehicles with a capacity of 16 or greater. Fees will not exceed the commercial fee for the same-sized vehicle. Youth 15 and under are free. Individuals or families with any valid Annual or Lifetime pass may use their pass for entry at the per person rate. Pass and photo ID must be present upon entry.
